iter	Passed	Remaining
0	151	151148
1	160	79859
2	166	55422
3	176	44001
4	184	36779
5	192	31942
6	198	28153
7	206	25667
8	213	23459
9	219	21731
10	226	20377
11	233	19259
12	241	18308
13	247	17424
14	256	16810
15	263	16174
16	272	15740
17	278	15177
18	288	14876
19	294	14419
20	302	14083
21	308	13698
22	314	13338
23	321	13067
24	328	12828
25	337	12635
26	343	12376
27	349	12127
28	356	11921
29	362	11730
30	372	11633
31	379	11488
32	387	11341
33	392	11152
34	399	11017
35	405	10851
36	410	10685
37	418	10604
38	425	10493
39	433	10415
40	440	10293
41	447	10215
42	453	10095
43	462	10042
44	471	10003
45	481	9988
46	487	9884
47	492	9772
48	501	9731
49	508	9664
50	515	9594
51	523	9540
52	532	9520
53	539	9447
54	546	9397
55	552	9314
56	559	9262
57	566	9201
58	572	9124
59	580	9091
60	586	9021
61	592	8960
62	599	8911
63	604	8842
64	610	8786
65	617	8734
66	623	8677
67	629	8631
68	636	8589
69	645	8569
70	650	8507
71	658	8482
72	664	8439
73	670	8395
74	677	8357
75	683	8306
76	690	8275
77	696	8237
78	702	8194
79	710	8170
80	715	8121
81	723	8104
82	729	8063
83	737	8038
84	743	8000
85	747	7948
86	755	7924
87	761	7892
88	767	7855
89	774	7834
90	781	7807
91	789	7788
92	794	7747
93	800	7719
94	807	7691
95	812	7653
96	821	7643
97	826	7610
98	832	7574
99	839	7559
100	845	7526
101	854	7524
102	860	7496
103	865	7460
104	872	7436
105	878	7408
106	886	7399
107	892	7373
108	898	7344
109	905	7322
110	910	7290
111	916	7269
112	922	7238
113	927	7211
114	935	7200
115	941	7174
116	948	7161
117	954	7136
118	959	7106
119	968	7101
120	974	7077
121	979	7048
122	985	7026
123	992	7011
124	1001	7010
125	1010	7010
126	1020	7012
127	1029	7012
128	1036	6999
129	1042	6974
130	1048	6956
131	1054	6931
132	1059	6908
133	1066	6889
134	1071	6865
135	1077	6844
136	1082	6819
137	1088	6797
138	1094	6779
139	1099	6756
140	1104	6730
141	1111	6715
142	1116	6690
143	1121	6668
144	1129	6661
145	1136	6647
146	1144	6641
147	1150	6621
148	1155	6597
149	1161	6583
150	1168	6569
151	1177	6567
152	1183	6550
153	1192	6548
154	1198	6535
155	1207	6531
156	1213	6515
157	1218	6494
158	1225	6482
159	1230	6462
160	1236	6444
161	1242	6429
162	1247	6405
163	1254	6392
164	1261	6382
165	1267	6366
166	1274	6356
167	1280	6342
168	1286	6327
169	1292	6312
170	1297	6290
171	1304	6281
172	1310	6264
173	1316	6249
174	1323	6239
175	1328	6219
176	1334	6205
177	1341	6192
178	1345	6173
179	1352	6161
180	1357	6143
181	1363	6126
182	1371	6122
183	1377	6107
184	1383	6096
185	1391	6087
186	1398	6080
187	1407	6080
188	1415	6072
189	1422	6066
190	1429	6053
191	1436	6044
192	1441	6028
193	1447	6012
194	1457	6018
195	1464	6006
196	1471	5996
197	1477	5982
198	1483	5972
199	1489	5957
200	1495	5945
201	1503	5939
202	1509	5927
203	1521	5934
204	1528	5928
205	1537	5925
206	1542	5907
207	1550	5902
208	1556	5890
209	1560	5869
210	1566	5859
211	1572	5843
212	1578	5833
213	1585	5822
214	1590	5807
215	1597	5797
216	1602	5782
217	1610	5778
218	1617	5769
219	1624	5759
220	1631	5750
221	1637	5739
222	1644	5731
223	1651	5722
224	1659	5716
225	1665	5703
226	1671	5691
227	1677	5680
228	1683	5669
